vectorLength,actualNumComparisons,expectedNumComparisons,timeElapsed
1167,11956,11956,0
1168,11968,11968,0
1169,11980,11980,0
1170,11992,11992,0
1171,12004,12004,0
1172,12016,12016,0
1173,12028,12028,0.000998
1174,12040,12040,0
1175,12052,12052,0
1176,12064,12064,0.000997
1177,12076,12076,0
1178,12088,12088,0
1179,12100,12100,0.000997
1180,12112,12112,0
1181,12124,12124,0
1182,12136,12136,0.000998
1183,12148,12148,0
1184,12160,12160,0
1185,12172,12172,0
1186,12184,12184,0
1187,12196,12196,0
1188,12208,12208,0
1189,12220,12220,0.000997
1190,12232,12232,0
1191,12244,12244,0
1192,12256,12256,0.000998
1193,12268,12268,0
1194,12280,12280,0
1195,12292,12292,0.000997
1196,12304,12304,0
1197,12316,12316,0
1198,12328,12328,0.000997
1199,12340,12340,0
1200,12352,12352,0
1201,12364,12364,0.000998
1202,12376,12376,0
1203,12388,12388,0
1204,12400,12400,0.000997
1205,12412,12412,0
1206,12424,12424,0
1207,12436,12436,0
1208,12448,12448,0
1209,12460,12460,0
1210,12472,12472,0
1211,12484,12484,0.000998
1212,12496,12496,0
1213,12508,12508,0
1214,12520,12520,0.000997
1215,12532,12532,0
1216,12544,12544,0
1217,12556,12556,0.000997
1218,12568,12568,0
1219,12580,12580,0
1220,12592,12592,0.000998
1221,12604,12604,0
1222,12616,12616,0
1223,12628,12628,0.000997
1224,12640,12640,0
1225,12652,12652,0
1226,12664,12664,0.001145
1227,12676,12676,0
1228,12688,12688,0
1229,12700,12700,0.00085
1230,12712,12712,0
1231,12724,12724,0
1232,12736,12736,0.000997
1233,12748,12748,0
1234,12760,12760,0
1235,12772,12772,0.000997
1236,12784,12784,0
1237,12796,12796,0
1238,12808,12808,0.000998
1239,12820,12820,0
1240,12832,12832,0
1241,12844,12844,0.000997
1242,12856,12856,0
1243,12868,12868,0
1244,12880,12880,0.000997
1245,12892,12892,0
1246,12904,12904,0
1247,12916,12916,0.000998
1248,12928,12928,0
1249,12940,12940,0
1250,12952,12952,0.000997
1251,12964,12964,0
1252,12976,12976,0
1253,12988,12988,0.000997
1254,13000,13000,0
1255,13012,13012,0
1256,13024,13024,0.000998
1257,13036,13036,0
1258,13048,13048,0
1259,13060,13060,0.000997
1260,13072,13072,0
1261,13084,13084,0
1262,13096,13096,0.000997
1263,13108,13108,0
1264,13120,13120,0
1265,13132,13132,0.000998
1266,13144,13144,0
1267,13156,13156,0
1268,13168,13168,0.000997
